,id,object_name,chain,object_type,address,number,street
19,153644,американская лаборатория десертов,False,кафе,"город москва, филипповский переулок, дом 15/5",20,филипповский переулок
61,21214,столовая,False,столовая,"город москва, бабаевская улица, дом 3",90,бабаевская улица
69,22139,хуанхэ,False,ресторан,"город москва, 1-й балтийский переулок, дом 3/25",60,1-й балтийский переулок
81,25833,азербайджан,False,ресторан,"город москва, улица демьяна бедного, дом 4",180,улица демьяна бедного
131,150881,вгик,False,столовая,"город москва, будайская улица, дом 3",45,будайская улица
150,24155,советские времена,True,кафе,"город москва, варсонофьевский переулок, дом 6",82,варсонофьевский переулок
179,24646,угол,False,кафе,"город москва, верхняя улица, дом 3, корпус 2",71,верхняя улица
181,20632,бар в фитнес клубе,False,бар,"город москва, глазовский переулок, дом 5",4,глазовский переулок
228,25090,ооо «театро»,False,кафе,"город москва, воротниковский переулок, дом 11, строение 1",35,воротниковский переулок
235,25487,сущевский дворик,False,кафе,"город москва, 2-й вышеславцев переулок, дом 17",48,2-й вышеславцев переулок
241,19821,столовая гбпоу зкно,False,буфет,"город москва, гвардейская улица, дом 15, корпус 1",50,гвардейская улица
251,27658,при школе 1294,False,столовая,"город москва, глебовская улица, дом 10",240,глебовская улица
308,27591,столовая школы 1254,False,столовая,"город москва, улица девятая рота, дом 14",160,улица девятая рота
350,68203,ньокки,True,ресторан,"город москва, улица генерала ермолова, дом 4",60,улица генерала ермолова
352,25330,хижина,True,ресторан,"город москва, улица жебрунова, дом 4",120,улица жебрунова
354,28847,столовая спецшкола 9,False,столовая,"город москва, улица бориса жигуленкова, дом 15",80,улица бориса жигуленкова
359,22376,тратория,False,кафе,"город москва, улица жуковского, дом 5",50,улица жуковского
437,20733,пивной бар элефант,False,бар,"город москва, 2-й колобовский переулок, дом 12",55,2-й колобовский переулок
463,152097,столовая при гбоу школа 171,False,столовая,"город москва, кооперативная улица, дом 2, корпус 13",24,кооперативная улица
520,79517,прованс,False,ресторан,"город москва, 1-й обыденский переулок, дом 9/12",40,1-й обыденский переулок
522,79562,фидан,False,ресторан,"город москва, кунцевская улица, дом 10",81,кунцевская улица
538,28857,кп мэи,False,столовая,"город москва, улица лапина, дом 3",240,улица лапина
540,20804,волконский,True,кулинария,"город москва, малый левшинский переулок, дом 14/9, строение 1",16,малый левшинский переулок
627,24319,гивисациви,False,кафе,"город москва, лужнецкий проезд, дом 1",95,лужнецкий проезд
642,153381,столовая при гбоу школа 57,False,столовая,"город москва, малый знаменский переулок, дом 7/10, строение 2",36,малый знаменский переулок
711,21002,буфет техникума мпэ,False,буфет,"город москва, мирской переулок, дом 5",30,мирской переулок
713,26252,ресторан «граф орлов»,False,ресторан,"город москва, 2-й верхний михайловский проезд, дом 2",90,2-й верхний михайловский проезд
737,24654,журфак,False,кафе,"город москва, большой афанасьевский переулок, дом 3, строение 3",49,большой афанасьевский переулок
742,24601,хинкаль палас,False,кафе,"город москва, нагорный бульвар, дом 5, корпус 1",40,нагорный бульвар
756,137544,антикварный boutique & bar,False,бар,"город москва, звонарский переулок, дом 5",30,звонарский переулок
757,69302,union jack,False,бар,"город москва, нижний кисельный переулок, дом 3, строение 1",30,нижний кисельный переулок
779,124526,кафе дада,False,кафе,"город москва, 1-й новокузнецкий переулок, дом 5-7",30,1-й новокузнецкий переулок
783,27483,гбоу школа № 1352,False,столовая,"город москва, новосибирская улица, дом 8",110,новосибирская улица
895,20048,пицца-фабрика,False,кафе,"город москва, улица пивченкова, дом 7",12,улица пивченкова
899,23980,сказочный двор,False,кафе,"город москва, платовская улица, дом 4",45,платовская улица
908,25694,кафе,False,кафетерий,"город москва, 3-й проезд подбельского, дом 22, корпус 3",16,3-й проезд подбельского
910,156679,cezve coffee,False,кафе,"город москва, подсосенский переулок, дом 8, строение 2",20,подсосенский переулок
990,20381,трапезная,False,столовая,"город москва, улица рогожский поселок, дом 3",10,улица рогожский поселок
1062,141385,гранатовый сад,False,ресторан,"город москва, 1-й сетуньский проезд, дом 10",80,1-й сетуньский проезд
1113,22203,вуден бор,False,кафе,"город москва, 2-й стрелецкий проезд, дом 7",40,2-й стрелецкий проезд
1147,29423,школа апогей,False,буфет,"город москва, таганрогская улица, дом 7",150,таганрогская улица
1163,21439,буфет при гуп «объединенный комбинат школьного питания»,False,столовая,"город москва, тенистый проезд, дом 8",98,тенистый проезд
1219,146370,амбарчик,False,кафе,"город москва, малый николопесковский переулок, дом 9/1, строение 2",20,малый николопесковский переулок
1273,21569,буфет школы 694,False,буфет,"город москва, 2-й хуторской переулок, дом 4/13",75,2-й хуторской переулок
1404,87543,кафе «one teaspoon»,False,кафе,"город москва, яузский бульвар, дом 14/8",16,яузский бульвар
1426,82532,будайский дворик,False,ресторан,"город москва, будайский проезд, дом 8",98,будайский проезд
1432,20865,буфет при общежитии,False,буфет,"город москва, международная улица, дом 15",8,международная улица
1456,134075,матрешка,False,кафе,"город москва, новолучанская улица, дом 22, строение 1",17,новолучанская улица
1466,25989,алиби,False,ресторан,"город москва, ащеулов переулок, дом 9",85,ащеулов переулок
1537,20415,чашка,False,бар,"город москва, улица академика семенова, дом 3",40,улица академика семенова
1574,157025,улисс паб,False,бар,"город москва, кривоарбатский переулок, дом 16/22",100,кривоарбатский переулок
1592,26993,сосны,False,ресторан,"город москва, 1-я линия хорошевского серебряного бора, домовладение 10, строение 1",30,1-я линия хорошевского серебряного бора
1633,25165,кафе-пиццерия,False,кафе,"город москва, 1-й зачатьевский переулок, дом 4",50,1-й зачатьевский переулок
1646,68324,tokyo bay,True,кафе,"город москва, старомонетный переулок, дом 18",50,старомонетный переулок
1654,22043,супкультура,False,кафе,"город москва, 2-й щемиловский переулок, дом 4",30,2-й щемиловский переулок
1667,75223,борго,False,кафе,"город москва, 2-й полевой переулок, дом 2",45,2-й полевой переулок
1687,111078,кафе торшер,False,кафе,"город москва, улица васильцовский стан, дом 5, корпус 1",48,улица васильцовский стан
1756,22808,else kafe,False,кафе,"город москва, иваньковское шоссе, дом 5",30,иваньковское шоссе
1781,24748,густаторе,False,кафе,"город москва, петровско-разумовская аллея, дом 10, корпус 3",24,петровско-разумовская аллея
1847,24743,кафе angelov,False,кафе,"город москва, 2-й неопалимовский переулок, дом 3",35,2-й неопалимовский переулок
1863,81258,у мангала,False,кафе,"город москва, город щербинка, спортивная улица, дом 23",45,спортивная улица
1866,79996,подмосковные вечера,False,ресторан,"город москва, город щербинка, 2-я барышевская улица, дом 1",72,2-я барышевская улица
1892,124295,кафе,False,кафе,"город москва, поселение филимонковское, деревня верхнее валуево, дом 21а",20,поселение филимонковское
1909,27568,столовая,False,столовая,"город москва, конаковский проезд, дом 5",240,конаковский проезд
1915,27436,школа 1381,False,столовая,"город москва, янтарный проезд, дом 2",300,янтарный проезд
1918,27896,столовая,False,столовая,"город москва, авиационный переулок, дом 5",62,авиационный переулок
1934,21437,столовая колорит кадетского корпуса № 1783,False,столовая,"город москва, 3-я новоостанкинская улица, дом 6",80,3-я новоостанкинская улица
1955,25970,бюргер,False,бар,"город москва, докучаев переулок, дом 6, строение 2",60,докучаев переулок
1964,28254,столовая,False,столовая,"город москва, фармацевтический проезд, дом 1",55,фармацевтический проезд
1969,153599,столовая «гкб им. с.п. боткина»,False,столовая,"город москва, большой предтеченский переулок, дом 15/8, строение 1",70,большой предтеченский переулок
1976,29144,школа №110,False,столовая,"город москва, столовый переулок, дом 10/2, строение 1",40,столовый переулок
2022,27183,yoko,False,ресторан,"город москва, соймоновский проезд, дом 5",50,соймоновский проезд
2029,22627,ривер,False,кафе,"город москва, малый власьевский переулок, дом 12, строение 2",24,малый власьевский переулок
2041,22670,хинкальная,True,кафе,"город москва, богоявленский переулок, дом 6, строение 2",20,богоявленский переулок
2069,137801,казан чай бар,False,ресторан,"город москва, малый татарский переулок, дом 8, строение 1",46,малый татарский переулок
2070,28552,столовая,False,столовая,"город москва, 2-й новокузнецкий переулок, дом 13/15, строение 1",80,2-й новокузнецкий переулок
2073,140795,ресторан золберг,False,ресторан,"город москва, 1-й люсиновский переулок, дом 3б",60,1-й люсиновский переулок
2103,22220,ухтомская усадьба,False,ресторан,"город москва, лениногорская улица, дом 32, строение 1",42,лениногорская улица
2104,147961,премьер пицца,False,фаст-фуд,"город москва, прокатная улица, дом 7",0,прокатная улица
2186,21525,гбоу школа № 1236,False,столовая,"город москва, улица гончарова, дом 15б",60,улица гончарова
2197,28801,столовая при колледже № 21,False,столовая,"город москва, вербная улица, дом 4, строение 1",252,вербная улица
2202,29239,столовая 1404,False,столовая,"город москва, большая ширяевская улица, дом 11",80,большая ширяевская улица
2208,21399,школьная столовая № 1210,False,столовая,"город москва, улица гамалеи, дом 17, корпус 1",95,улица гамалеи
2243,29142,школа «№123»,False,столовая,"город москва, хлыновский тупик, дом 3, строение 1",50,хлыновский тупик
2260,152523,антикинотеатр «newtone»,False,кафе,"город москва, хлебный переулок, дом 2/3, строение 3",25,хлебный переулок
2365,27860,мнити,False,столовая,"город москва, гольяновская улица, дом 7а, строение 1",70,гольяновская улица
2369,27343,школа 354,False,столовая,"город москва, лефортовский переулок, дом 8, строение 1",40,лефортовский переулок
2407,150892,школа,False,столовая,"город москва, средний кондратьевский переулок, дом 8а",60,средний кондратьевский переулок
2409,150890,школа,False,столовая,"город москва, улица подвойского, дом 2",200,улица подвойского
2430,20119,кафе,False,кафе,"город москва, изваринская улица, дом 4, корпус 1",45,изваринская улица
2431,19822,столовая,False,столовая,"город москва, дивизионная улица, дом 4",80,дивизионная улица
2451,29188,столовая,False,столовая,"город москва, пулковская улица, дом 6",50,пулковская улица
2504,29350,столовая школы 900,False,столовая,"город москва, 3-й дорожный проезд, дом 6а",240,3-й дорожный проезд
2518,26715,ресторан «тэсти»,False,фаст-фуд,"город москва, кожевнический проезд, дом 4/5, строение 5",200,кожевнический проезд
2528,24635,оазис,False,кафе,"город москва, улица рокотова, дом 2а",80,улица рокотова
2568,26686,территория ясенево,True,ресторан,"город москва, ясногорская улица, дом 2",200,ясногорская улица
2609,21495,гбоу школа № 626 структурное подразделение «ремизово»,False,столовая,"город москва, улица ремизова, дом 12",80,улица ремизова
2615,29377,гбоудо «севастополец»,False,столовая,"город москва, большая юшуньская улица, дом 14",55,большая юшуньская улица
2638,27566,столовая,False,столовая,"город москва, солнечногорский проезд, дом 7а",184,солнечногорский проезд
2667,21273,буфет в техникуме,False,буфет,"город москва, стандартная улица, дом 4а",60,стандартная улица
2679,21390,столовая цо 1402,False,столовая,"город москва, 2-я сокольническая улица, дом 3",60,2-я сокольническая улица
2683,29541,при вечерней школе 148,False,столовая,"город москва, 2-я гражданская улица, дом 8",50,2-я гражданская улица
2685,29543,при школе 382,False,столовая,"город москва, андреево-забелинская улица, дом 28",120,андреево-забелинская улица
2690,73010,при школе 374,False,буфет,"город москва, миллионная улица, дом 5",125,миллионная улица
2699,21577,при школе 363,False,буфет,"город москва, алымов переулок, дом 15",120,алымов переулок
2700,21575,при школе 365,False,буфет,"город москва, 5-й проезд подбельского, дом 2",90,5-й проезд подбельского
2712,28576,стол. шк. 163,False,столовая,"город москва, линейный проезд, дом 11",200,линейный проезд
2713,29201,гбоу школа №771,False,столовая,"город москва, икшинская улица, дом 12",247,икшинская улица
2714,28681,стол. шк. 929,False,столовая,"город москва, улица немчинова, дом 8",140,улица немчинова
2726,29196,гбоу школа дмитровский,False,столовая,"город москва, вагоноремонтная улица, дом 15а",247,вагоноремонтная улица
2727,29490,стол.школы 1592 кшп «логарифм»,False,столовая,"город москва, бескудниковский проезд, дом 4а",240,бескудниковский проезд
2728,29493,стол.шк.n208 гуп«школьное питание»,False,столовая,"город москва, бескудниковский переулок, дом 4а",240,бескудниковский переулок
2736,21387,стол. шк.207,False,столовая,"город москва, астрадамский проезд, дом 5",60,астрадамский проезд
2737,29198,гбоу школа дмитровский,False,столовая,"город москва, карельский бульвар, дом 20",67,карельский бульвар
2741,22454,апрель,False,ресторан,"город москва, живарев переулок, дом 8, строение 3",80,живарев переулок
2751,27405,гбоу пушкинская школа № 1500,False,столовая,"город москва, скорняжный переулок, дом 3, строение 1",150,скорняжный переулок
2754,83649,graff lounge,False,ресторан,"город москва, 1-й коптельский переулок, дом 2/7, строение 1",45,1-й коптельский переулок
2782,20967,буфет № 6 ргау-мсха им. к.а. тимирязева,False,буфет,"город москва, тимирязевский проезд, дом 2",16,тимирязевский проезд
2794,21282,мед. колледж № 1,False,столовая,"город москва, чуксин тупик, дом 6",60,чуксин тупик
2842,76888,лоза,False,кафе,"город москва, институтский переулок, дом 2",50,институтский переулок
2852,152179,гбоу многопрофильный лицей № 1501,False,буфет,"город москва, улица достоевского, дом 25, строение 1",60,улица достоевского
2894,140177,спорт-бар гладиатор,False,бар,"город москва, улица фонвизина, дом 17",15,улица фонвизина
2926,76244,да пино,True,ресторан,"город москва, делегатская улица, дом 7, строение 1",145,делегатская улица
2937,23288,столовая школы 12,False,столовая,"город москва, 2-й сетуньский проезд, дом 9",250,2-й сетуньский проезд
2956,28669,школа № 706 (доготовочная столовая),False,столовая,"город москва, песчаный переулок, дом 6",140,песчаный переулок
2965,21426,буфет школы 153,False,буфет,"город москва, прибрежный проезд, дом 12",90,прибрежный проезд
2997,83284,кафе «восточная сказка»,False,кафе,"город москва, 3-я подрезковская улица, дом 14, строение 2",60,3-я подрезковская улица
3011,21421,столовая гимназии 1570,False,буфет,"город москва, переулок расковой, дом 14а",70,переулок расковой
3025,23669,школа 1012,False,столовая,"город москва, родниковая улица, дом 20, корпус 1",320,родниковая улица
3037,29074,школьно-базовая столовая,False,столовая,"город москва, большая бутовская улица, дом 9",120,большая бутовская улица
3042,29008,цо №1450 «комбинат дошкольного питания»,False,столовая,"город москва, фруктовая улица, дом 9",300,фруктовая улица
3045,140413,офицерское собрание ресторан,False,ресторан,"город москва, черниговский переулок, дом 9/13, строение 2",30,черниговский переулок
3053,20966,буфет полиграфического колледжа 56,False,буфет,"город москва, полтавская улица, дом 3",120,полтавская улица
3066,28222,бар (закрытое),False,буфет,"город москва, пыжевский переулок, дом 5, строение 1",30,пыжевский переулок
3071,28108,столовая «анокпумгкэит»,False,столовая,"город москва, улица академика петровского, дом 10",150,улица академика петровского
3123,20879,nook cofee,False,кафе,"город москва, нелидовская улица, дом 10, строение 1",14,нелидовская улица
3124,73079,школа № 1431,False,столовая,"город москва, 1-й тушинский проезд, дом 12",240,1-й тушинский проезд
3127,90766,кафе,False,кафе,"город москва, проезд досфлота, дом 2, строение 1",24,проезд досфлота
3143,23366,школа № 830 корпус № 4,False,столовая,"город москва, врачебный проезд, дом 12",210,врачебный проезд
3162,20938,ярославский посад,False,буфет,"город москва, 3-й стрелецкий проезд, дом 3",36,3-й стрелецкий проезд
3199,27284,принцесса,False,ресторан,"город москва, попов проезд, дом 2",200,попов проезд
3201,75004,кафе,False,кафе,"город москва, 1-я боевская улица, дом 6",44,1-я боевская улица
3220,27588,столовая школы 380,False,столовая,"город москва, 2-я улица бухвостова, дом 6",100,2-я улица бухвостова
3235,152444,imho bar,False,бар,"город москва, сретенский тупик, дом 5",50,сретенский тупик
3254,27389,школьная столовая № 1874,False,столовая,"город москва, улица маршала новикова, дом 13",170,улица маршала новикова
3256,27349,столовая гбоу школа № 1560 «лидер»,False,столовая,"город москва, новохорошевский проезд, дом 12",250,новохорошевский проезд
3276,152133,столовая института мировых цивилизаций,False,столовая,"город москва, 1-й басманный переулок, дом 3, строение 1",50,1-й басманный переулок
3289,126032,9bar,False,кафетерий,"город москва, стромынский переулок, дом 4",0,стромынский переулок
3296,25298,кафе «хомяк»,False,кафе,"город москва, заводской проезд, дом 25",35,заводской проезд
3301,28548,столовая при школе 1362,False,столовая,"город москва, лечебная улица, дом 20",80,лечебная улица
3320,28546,столовая при школе интернат № 53,False,столовая,"город москва, кирпичная улица, дом 18",150,кирпичная улица
3332,21274,сэлтинс,False,буфет,"город москва, стрелецкая улица, дом 2, строение 1",28,стрелецкая улица
3336,28839,гбоу школа №2200,False,столовая,"город москва, 11-я парковая улица, дом 50",112,11-я парковая улица
3338,29234,столовая при колледже,False,столовая,"город москва, 14-я парковая улица, дом 4б",100,14-я парковая улица
3345,21453,столовая школы 434,False,столовая,"город москва, улица благуша, дом 6",80,улица благуша
3349,27399,столовая при школе 1056,False,столовая,"город москва, штурвальная улица, дом 7, корпус 2",240,штурвальная улица
3350,20931,алеся,False,столовая,"город москва, минаевский переулок, дом 2",60,минаевский переулок
3359,146703,бабу,False,кафе,"город москва, щелковский проезд, дом 13",44,щелковский проезд
3360,22224,кафе «сочи»,False,кафе,"город москва, мажоров переулок, дом 5",15,мажоров переулок
3367,73308,кофе-хаус,True,кафе,"город москва, измайловская площадь, дом 1а",98,измайловская площадь
3371,27633,цо 345,False,столовая,"город москва, елоховский проезд, дом 1, строение 5",100,елоховский проезд
3375,21367,школа 1204,False,буфет,"город москва, рубцов переулок, дом 10/14",77,рубцов переулок
3380,21369,школа 1203,False,буфет,"город москва, кондрашевский тупик, дом 3а",30,кондрашевский тупик
3381,27855,мосводоканал,False,столовая,"город москва, плетешковский переулок, дом 2",90,плетешковский переулок
3388,29148,школа №87,False,столовая,"город москва, улица николаева, дом 5",40,улица николаева
3391,21035,малыш и карлсон,False,буфет,"город москва, триумфальная площадь, дом 2, строение 1",15,триумфальная площадь
3392,20642,сп «рольф»,False,бар,"город москва, 2-й магистральный тупик, дом 5а",25,2-й магистральный тупик
3465,21280,буфет медицинского училища при гкб им. боткина,False,буфет,"город москва, 2-й боткинский проезд, дом 5, корпус 28",40,2-й боткинский проезд
3527,21030,буфет,False,буфет,"город москва, мамоновский переулок, дом 10, строение 1",4,мамоновский переулок
3529,22576,золотой дракон,False,кафе,"город москва, дегтярный переулок, дом 6, строение 1",86,дегтярный переулок
3530,25096,ливанец,False,кафе,"город москва, глинищевский переулок, дом 3",98,глинищевский переулок
3597,26857,гарден,False,ресторан,"город москва, 3-я песчаная улица, дом 2",80,3-я песчаная улица
3619,154224,обломов,False,ресторан,"город москва, 1-й монетчиковский переулок, дом 5, строение 1",75,1-й монетчиковский переулок
3621,142570,квартира 44,True,кафе,"город москва, улица малая ордынка, дом 24",38,улица малая ордынка
3624,29577,школа 540 «кдп»,False,столовая,"город москва, хавская улица, дом 15",200,хавская улица
3630,129451,кафе «ванадис»,False,кафе,"город москва, жуков проезд, дом 8, строение 3",30,жуков проезд
3633,141361,ирландский паб белфаст,False,кафе,"город москва, средний овчинниковский переулок, дом 1, строение 13",40,средний овчинниковский переулок
3639,21582,школа 573 «кдп»,False,столовая,"город москва, 5-й рощинский проезд, дом 4",120,5-й рощинский проезд
3642,19883,солнечный очаг,False,ресторан,"город москва, улица богданова, дом 56б",60,улица богданова
3652,23673,школа 1000,False,столовая,"город москва, наро-фоминская улица, дом 1",130,наро-фоминская улица
3653,23662,школа 1009,False,столовая,"город москва, улица щорса, дом 5",200,улица щорса
3670,69444,mojo,False,кафе,"город москва, сверчков переулок, дом 8, строение 1",63,сверчков переулок
3701,156723,eleven-hall,False,ресторан,"город москва, малый каретный переулок, дом 11, строение 2",100,малый каретный переулок
3713,23514,осипов а.с. (прод.база «очаково»),False,столовая,"город москва, проектируемый проезд № 1980, дом 4",60,проектируемый проезд № 1980
